timestamp,open,high,low,close,volume,vwap,time_to_expiration_days
2025-03-06,1.65,1.65,0.79,0.82,4042,1.2445,15
2025-03-07,0.78,1.48,0.56,1.33,1784,0.9,14
2025-03-10,1.0,1.01,0.4,0.55,3776,0.5562,11
2025-03-11,0.1,0.22,0.04,0.05,1356,0.0624,10
2025-03-12,0.06,0.08,0.05,0.07,798,0.0648,9
2025-03-13,0.06,0.06,0.03,0.04,308,0.0457,8
2025-03-14,0.06,0.06,0.02,0.02,108,0.0359,7
2025-03-17,0.13,0.13,0.02,0.04,946,0.0232,4
2025-03-18,0.02,0.03,0.02,0.03,206,0.0217,3
2025-03-19,0.02,0.04,0.01,0.01,30,0.0147,2
2025-03-20,0.02,0.02,0.01,0.01,468,0.0133,1
2025-03-21,0.02,0.02,0.01,0.01,24,0.0133,0
